epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
30,1029.98,1.42546,2.29723,1.22658,0.88317,0.87931,0.87241,0.43447,1.72736,1.32482,1.5149,0.00212943,0.000709809,0.00212943,0.000709809,0.00212943,0.000709809,0.00212943,0.000709809
31,1064.73,1.51753,2.33274,1.29063,0.84462,0.86111,0.86094,0.41268,1.68539,1.31793,1.49903,0.00203041,0.000676802,0.00203041,0.000676802,0.00203041,0.000676802,0.00203041,0.000676802
32,1098.96,1.54089,2.03812,1.29455,0.8849,0.87942,0.88616,0.42432,1.66981,1.25003,1.50016,0.00193139,0.000643795,0.00193139,0.000643795,0.00193139,0.000643795,0.00193139,0.000643795
33,1134.74,1.54254,2.07243,1.25472,0.75585,0.81741,0.84601,0.41514,1.63504,1.27856,1.49048,0.00183237,0.000610789,0.00183237,0.000610789,0.00183237,0.000610789,0.00183237,0.000610789
34,1171.04,1.51358,1.88813,1.29151,0.80264,0.82556,0.84534,0.44003,1.60854,1.27399,1.45906,0.00173335,0.000577782,0.00173335,0.000577782,0.00173335,0.000577782,0.00173335,0.000577782
35,1208.23,1.50926,2.29836,1.26149,0.73062,0.86362,0.85827,0.4278,1.62069,1.25607,1.45813,0.00163433,0.000544776,0.00163433,0.000544776,0.00163433,0.000544776,0.00163433,0.000544776
36,1244.48,1.49288,2.45759,1.20116,0.76103,0.85637,0.82447,0.40838,1.58899,1.26875,1.43021,0.00153531,0.000511769,0.00153531,0.000511769,0.00153531,0.000511769,0.00153531,0.000511769
37,1281.07,1.54144,2.00251,1.26716,0.81707,0.68766,0.79914,0.39324,1.58062,1.29267,1.41007,0.00143629,0.000478762,0.00143629,0.000478762,0.00143629,0.000478762,0.00143629,0.000478762
38,1318.68,1.57435,1.75651,1.31773,0.78403,0.90278,0.82958,0.4051,1.60804,1.24968,1.38743,0.00133727,0.000445756,0.00133727,0.000445756,0.00133727,0.000445756,0.00133727,0.000445756
39,1356.39,1.56877,1.6535,1.26826,0.86013,0.88732,0.84511,0.40719,1.58413,1.22662,1.37544,0.00123825,0.000412749,0.00123825,0.000412749,0.00123825,0.000412749,0.00123825,0.000412749
40,1394.55,1.54408,2.29903,1.27937,0.80515,0.89377,0.82249,0.39082,1.60846,1.32392,1.38629,0.00113923,0.000379743,0.00113923,0.000379743,0.00113923,0.000379743,0.00113923,0.000379743
41,1438.6,1.41056,2.57713,1.17338,0.76411,0.79619,0.82161,0.38864,1.55534,1.37628,1.33557,0.00104021,0.000346736,0.00104021,0.000346736,0.00104021,0.000346736,0.00104021,0.000346736
42,1472.75,1.42444,2.43981,1.17053,0.79403,0.78789,0.8038,0.3839,1.54901,1.46372,1.3441,0.000941188,0.000313729,0.000941188,0.000313729,0.000941188,0.000313729,0.000941188,0.000313729
43,1510.17,1.39423,2.47555,1.15764,0.66619,0.88205,0.81821,0.38312,1.49266,1.43739,1.33105,0.000842168,0.000280723,0.000842168,0.000280723,0.000842168,0.000280723,0.000842168,0.000280723
44,1546.69,1.40617,2.40607,1.15073,0.78678,0.75167,0.80416,0.39133,1.5016,1.44613,1.32827,0.000743149,0.000247716,0.000743149,0.000247716,0.000743149,0.000247716,0.000743149,0.000247716
45,1582.64,1.4006,2.40248,1.15045,0.67252,0.87431,0.79976,0.38857,1.51753,1.40345,1.34398,0.000644129,0.00021471,0.000644129,0.00021471,0.000644129,0.00021471,0.000644129,0.00021471
46,1617.35,1.39426,2.4183,1.15889,0.69333,0.87118,0.80087,0.38488,1.504,1.45259,1.33266,0.000545109,0.000181703,0.000545109,0.000181703,0.000545109,0.000181703,0.000545109,0.000181703
47,1653.46,1.39977,2.34165,1.17336,0.65777,0.85187,0.79832,0.38465,1.53176,1.45191,1.34642,0.000446089,0.000148696,0.000446089,0.000148696,0.000446089,0.000148696,0.000446089,0.000148696
48,1689.13,1.38632,2.31794,1.15765,0.66252,0.84514,0.78919,0.39761,1.51856,1.42737,1.34295,0.000347069,0.00011569,0.000347069,0.00011569,0.000347069,0.00011569,0.000347069,0.00011569
49,1723.98,1.35407,2.34259,1.15328,0.67631,0.85444,0.79558,0.39736,1.53258,1.39225,1.34399,0.00024805,8.26832e-05,0.00024805,8.26832e-05,0.00024805,8.26832e-05,0.00024805,8.26832e-05
50,1758.83,1.34744,2.29682,1.12782,0.65428,0.8512,0.78894,0.38389,1.5168,1.43991,1.34279,0.00014903,4.96766e-05,0.00014903,4.96766e-05,0.00014903,4.96766e-05,0.00014903,4.96766e-05
